 ,Area,StdDev,Min,Max,Perim.,Circ.,AR,Round,Solidity
466,30.093,0,255,255,23.452,0.688,1.148,0.871,0.904
467,26.852,0,255,255,19.726,0.867,1.135,0.881,0.917
468,7.948,0,255,255,10.242,0.952,1.195,0.837,0.904
469,18.827,0,255,255,18.642,0.681,1.319,0.758,0.864
470,22.222,0,255,255,17.992,0.863,1.121,0.892,0.917
471,44.059,0,255,255,25.253,0.868,1.043,0.959,0.931
472,22.685,0,255,255,17.857,0.894,1.010,0.990,0.953
473,44.599,0,255,255,25.551,0.858,1.131,0.884,0.929
474,17.670,0,255,255,16.488,0.817,1.019,0.982,0.884
475,16.744,0,255,255,16.353,0.787,1.318,0.758,0.902
476,36.806,0,255,255,28.951,0.552,1.355,0.738,0.881
477,20.216,0,255,255,17.369,0.842,1.202,0.832,0.916
478,33.796,0,255,255,23.126,0.794,1.156,0.865,0.909
479,41.049,0,255,255,24.400,0.866,1.146,0.873,0.932
480,39.506,0,255,255,29.412,0.574,1.079,0.927,0.887
481,30.633,0,255,255,21.297,0.849,1.073,0.932,0.919
482,31.327,0,255,255,21.527,0.849,1.136,0.881,0.906
483,44.444,0,255,255,26.162,0.816,1.471,0.680,0.937
484,44.290,0,255,255,26.432,0.797,1.577,0.634,0.926
485,8.488,0,255,255,12.071,0.732,1.363,0.734,0.821
486,21.914,0,255,255,17.857,0.864,1.056,0.947,0.922
487,30.556,0,255,255,21.757,0.811,1.128,0.886,0.896
488,27.469,0,255,255,19.630,0.896,1.016,0.985,0.926
489,16.975,0,255,255,15.865,0.848,1.078,0.928,0.903
490,25.772,0,255,255,20.904,0.741,1.031,0.970,0.871
491,27.238,0,255,255,20.702,0.799,1.368,0.731,0.933
492,25.463,0,255,255,22.015,0.660,1.176,0.850,0.902
493,21.451,0,255,255,17.734,0.857,1.174,0.852,0.913
494,24.691,0,255,255,19.495,0.816,1.187,0.843,0.904
495,22.377,0,255,255,17.896,0.878,1.133,0.882,0.916
496,27.546,0,255,255,19.793,0.884,1.069,0.936,0.922
497,26.312,0,255,255,19.888,0.836,1.140,0.877,0.906
498,17.361,0,255,255,16.555,0.796,1.598,0.626,0.881
499,17.747,0,255,255,16.325,0.837,1.053,0.950,0.886
500,26.003,0,255,255,19.821,0.832,1.190,0.840,0.921
501,22.531,0,255,255,18.059,0.868,1.105,0.905,0.939
502,36.034,0,255,255,22.503,0.894,1.168,0.856,0.938
503,37.731,0,255,255,23.126,0.887,1.009,0.991,0.940
504,28.164,0,255,255,19.984,0.886,1.059,0.944,0.935
505,34.568,0,255,255,22.408,0.865,1.160,0.862,0.939
506,40.278,0,255,255,25.741,0.764,1.111,0.900,0.898
507,21.991,0,255,255,18.452,0.812,1.221,0.819,0.889
508,40.355,0,255,255,24.888,0.819,1.091,0.917,0.935
509,60.648,0,255,255,32.285,0.731,1.587,0.630,0.904
510,19.059,0,255,255,18.154,0.727,1.116,0.896,0.846
511,29.552,0,255,255,20.511,0.883,1.087,0.920,0.933
512,33.951,0,255,255,22.829,0.819,1.126,0.888,0.916
513,19.059,0,255,255,17.206,0.809,1.107,0.903,0.892
514,36.188,0,255,255,24.103,0.783,1.539,0.650,0.947
515,35.417,0,255,255,22.380,0.889,1.064,0.940,0.926
516,72.840,0,255,255,38.693,0.611,1.151,0.869,0.848
517,22.531,0,255,255,17.992,0.875,1.101,0.908,0.914
518,10.880,0,255,255,13.154,0.790,1.071,0.934,0.855
519,23.302,0,255,255,18.317,0.873,1.113,0.898,0.934
520,14.583,0,255,255,14.619,0.858,1.541,0.649,0.933
521,24.306,0,255,255,18.873,0.858,1.142,0.875,0.926
522,11.883,0,255,255,13.508,0.818,1.103,0.907,0.909
523,20.602,0,255,255,17.341,0.861,1.157,0.864,0.904
524,29.475,0,255,255,20.118,0.915,1.137,0.879,0.936
525,17.901,0,255,255,16.027,0.876,1.091,0.917,0.917
526,11.420,0,255,255,13.317,0.809,1.098,0.911,0.876
527,29.552,0,255,255,21.460,0.806,1.146,0.873,0.911
528,32.562,0,255,255,21.432,0.891,1.054,0.949,0.926
529,12.114,0,255,255,14.984,0.678,1.098,0.910,0.880
530,26.775,0,255,255,20.051,0.837,1.086,0.921,0.917
531,51.543,0,255,255,31.213,0.665,1.501,0.666,0.853
532,17.747,0,255,255,17.043,0.768,1.345,0.744,0.870
533,18.904,0,255,255,16.948,0.827,1.243,0.804,0.896
534,23.843,0,255,255,18.968,0.833,1.108,0.903,0.927
535,12.963,0,255,255,15.242,0.701,1.267,0.789,0.896
536,25.849,0,255,255,20.769,0.753,1.124,0.890,0.879
537,32.330,0,255,255,24.440,0.680,1.102,0.907,0.905
538,19.367,0,255,255,22.313,0.489,1.014,0.986,0.835
539,24.614,0,255,255,18.682,0.886,1.188,0.842,0.913
540,19.907,0,255,255,17.896,0.781,1.255,0.797,0.882
541,48.302,0,255,255,26.757,0.848,1.238,0.808,0.926
542,44.985,0,255,255,28.222,0.710,1.312,0.762,0.872
543,28.472,0,255,255,20.932,0.817,1.095,0.913,0.920
544,29.552,0,255,255,20.904,0.850,1.236,0.809,0.914
545,23.225,0,255,255,18.154,0.886,1.108,0.903,0.922
546,33.333,0,255,255,21.880,0.875,1.132,0.883,0.948
547,11.883,0,255,255,14.198,0.741,1.467,0.682,0.863
548,27.623,0,255,255,20.741,0.807,1.077,0.929,0.911
549,43.056,0,255,255,25.781,0.814,1.194,0.838,0.901
550,51.620,0,255,255,27.313,0.870,1.171,0.854,0.936
551,31.019,0,255,255,21.555,0.839,1.075,0.930,0.897
552,53.241,0,255,255,29.507,0.768,1.274,0.785,0.897
553,46.296,0,255,255,29.142,0.685,1.294,0.773,0.858
554,21.219,0,255,255,18.777,0.756,1.464,0.683,0.886
555,27.315,0,255,255,19.956,0.862,1.069,0.935,0.917
556,17.515,0,255,255,15.702,0.893,1.202,0.832,0.912
557,13.503,0,255,255,14.523,0.804,1.489,0.672,0.888
558,21.914,0,255,255,18.710,0.787,1.329,0.753,0.899
559,44.830,0,255,255,26.336,0.812,1.089,0.919,0.916
560,15.123,0,255,255,15.607,0.780,1.403,0.713,0.885
561,16.821,0,255,255,15.960,0.830,1.350,0.741,0.903
562,33.025,0,255,255,22.083,0.851,1.164,0.859,0.914
563,11.728,0,255,255,14.063,0.745,1.207,0.829,0.874
564,32.485,0,255,255,21.460,0.886,1.083,0.924,0.933
565,30.941,0,255,255,21.392,0.850,1.091,0.917,0.934
566,13.966,0,255,255,14.035,0.891,1.119,0.894,0.905
567,69.599,0,255,255,37.908,0.609,1.448,0.691,0.829
568,30.401,0,255,255,21.622,0.817,1.252,0.799,0.910
569,7.099,0,255,255,12.206,0.599,2.473,0.404,0.776
570,28.704,0,255,255,20.741,0.838,1.012,0.988,0.923
571,15.509,0,255,255,15.376,0.824,1.026,0.974,0.901
572,30.015,0,255,255,20.837,0.869,1.080,0.926,0.932
573,33.025,0,255,255,22.964,0.787,1.038,0.963,0.899
574,9.336,0,255,255,12.789,0.717,1.370,0.730,0.877
575,45.448,0,255,255,26.202,0.832,1.379,0.725,0.924
576,30.787,0,255,255,21.555,0.833,1.059,0.944,0.914
577,24.537,0,255,255,19.591,0.803,1.261,0.793,0.928
578,42.130,0,255,255,26.785,0.738,1.095,0.913,0.891
579,27.546,0,255,255,19.726,0.890,1.164,0.859,0.926
580,22.299,0,255,255,18.250,0.841,1.313,0.761,0.919
581,20.062,0,255,255,17.571,0.817,1.144,0.874,0.880
582,37.577,0,255,255,25.713,0.714,1.053,0.950,0.875
583,25.231,0,255,255,19.265,0.854,1.009,0.991,0.916
584,23.843,0,255,255,19.170,0.815,1.255,0.797,0.914
585,29.167,0,255,255,22.801,0.705,1.076,0.929,0.856
586,42.670,0,255,255,26.499,0.764,1.497,0.668,0.898
587,26.312,0,255,255,20.079,0.820,1.388,0.721,0.946
588,47.299,0,255,255,29.698,0.674,2.063,0.485,0.908
589,24.614,0,255,255,20.321,0.749,1.353,0.739,0.855
590,26.543,0,255,255,19.237,0.901,1.005,0.995,0.927
591,23.843,0,255,255,18.547,0.871,1.054,0.949,0.925
592,43.287,0,255,255,26.202,0.792,1.008,0.992,0.909
593,24.151,0,255,255,18.940,0.846,1.066,0.938,0.907
594,25.000,0,255,255,20.741,0.730,1.323,0.756,0.867
595,21.991,0,255,255,20.837,0.636,1.173,0.853,0.900
596,33.179,0,255,255,21.392,0.911,1.170,0.855,0.944
597,21.142,0,255,255,18.154,0.806,1.054,0.949,0.904
598,30.864,0,255,255,21.364,0.850,1.107,0.903,0.920
599,27.932,0,255,255,21.230,0.779,1.371,0.729,0.916
600,22.685,0,255,255,18.682,0.817,1.043,0.958,0.886
601,14.583,0,255,255,15.309,0.782,1.226,0.815,0.894
602,42.515,0,255,255,27.178,0.723,1.311,0.763,0.895
603,28.164,0,255,255,24.928,0.570,1.136,0.880,0.890
604,33.256,0,255,255,21.594,0.896,1.135,0.881,0.924
605,27.083,0,255,255,20.281,0.827,1.023,0.978,0.901
606,62.731,0,255,255,33.924,0.685,1.567,0.638,0.870
607,47.299,0,255,255,27.122,0.808,1.103,0.907,0.905
608,27.006,0,255,255,19.658,0.878,1.136,0.880,0.920
609,33.719,0,255,255,21.555,0.912,1.087,0.920,0.941
610,29.167,0,255,255,20.444,0.877,1.154,0.866,0.926
611,30.633,0,255,255,23.261,0.711,1.759,0.568,0.886
612,21.605,0,255,255,17.206,0.917,1.213,0.825,0.940
613,35.571,0,255,255,22.964,0.848,1.031,0.970,0.919
614,17.207,0,255,255,17.111,0.739,1.140,0.877,0.856
615,32.870,0,255,255,21.853,0.865,1.107,0.903,0.918
616,13.117,0,255,255,14.456,0.789,1.058,0.945,0.904
617,27.546,0,255,255,20.118,0.855,1.027,0.974,0.915
618,12.114,0,255,255,15.797,0.610,1.258,0.795,0.844
619,17.593,0,255,255,18.845,0.623,1.408,0.710,0.779
620,28.935,0,255,255,22.313,0.730,1.264,0.791,0.869
621,18.596,0,255,255,16.622,0.846,1.208,0.828,0.899
622,32.330,0,255,255,21.392,0.888,1.172,0.853,0.934
623,26.466,0,255,255,19.333,0.890,1.090,0.917,0.927
624,21.759,0,255,255,17.694,0.873,1.093,0.915,0.916
625,25.463,0,255,255,19.007,0.886,1.042,0.960,0.928
626,15.972,0,255,255,16.190,0.766,1.121,0.892,0.888
627,22.531,0,255,255,18.614,0.817,1.010,0.990,0.915
628,37.500,0,255,255,27.083,0.642,1.802,0.555,0.850
629,17.438,0,255,255,16.190,0.836,1.202,0.832,0.913
630,23.148,0,255,255,18.682,0.833,1.176,0.850,0.893
631,18.056,0,255,255,16.718,0.812,1.249,0.801,0.886
632,34.722,0,255,255,22.408,0.869,1.051,0.951,0.925
633,24.769,0,255,255,19.035,0.859,1.016,0.984,0.926
634,29.090,0,255,255,20.607,0.861,1.118,0.895,0.933
635,5.093,0,255,255,9.389,0.726,2.005,0.499,0.857
636,15.741,0,255,255,14.754,0.909,1.225,0.816,0.927
637,12.269,0,255,255,12.857,0.933,1.081,0.925,0.927
638,40.046,0,255,255,24.754,0.821,1.095,0.913,0.933
639,14.969,0,255,255,15.146,0.820,1.149,0.870,0.911
640,29.321,0,255,255,20.904,0.843,1.123,0.891,0.918
641,40.664,0,255,255,26.432,0.731,1.799,0.556,0.907
642,22.145,0,255,255,18.222,0.838,1.076,0.930,0.901
643,20.448,0,255,255,17.071,0.882,1.282,0.780,0.953
644,28.472,0,255,255,20.837,0.824,1.202,0.832,0.919
645,30.864,0,255,255,21.650,0.827,1.229,0.814,0.920
646,16.281,0,255,255,15.146,0.892,1.120,0.893,0.915
647,23.688,0,255,255,19.103,0.816,1.176,0.851,0.892
648,17.515,0,255,255,16.027,0.857,1.297,0.771,0.923
649,22.299,0,255,255,18.777,0.795,1.067,0.937,0.876
650,18.596,0,255,255,17.273,0.783,1.094,0.914,0.903
651,14.892,0,255,255,14.428,0.899,1.238,0.808,0.917
